Year,Salary,Salary,Salary,Wages 
1951,2768.68,2799.16,2768.68,2799.16
1952,2945.16,2973.32,2945.16,2973.32		
1953,3089.28,3139.44,3089.28,3139.44	
1954,3225.60,3155.64,3225.60,3155.64	
1955,3350.36,3301.44,3350.36,3301.44
1956,3539.72,3532.36,3539.72,3532.36
1957,3747.04,3641.72,3747.04,3641.72
1958,3851.80,3673.80,3851.80,3673.80
1959,3979.92,3855.80,3979.92,3855.80
1960,4148.12,4007.12,4148.12,4007.12		
1961,4283.12,4086.76,4283.12,4086.76		
1962,4461.04,4291.40,4461.04,4291.40		
1963,4571.88,4396.64,4571.88,4396.64		
1964,4712.12,4576.32,4712.12,4576.32	
1965,4786.76,4658.72,4786.76,4658.72	
1966,4996.56,4938.36,4996.56,4938.36			
1967,5310.64,5213.44,5310.64,5213.44			
1968,5682.80,5571.76,5682.80,5571.76	
1969,5976.80,5893.76,5976.80,5893.76			
1970,6288.12,6186.24,6288.12,6186.24			
1971,6670.32,6497.08,6670.32,6497.08			
1972,7249.72,7133.80,7249.72,7133.80			
1973,7580.16,7580.16,7580.16,7580.16			
1974,8030.76,8030.76,8030.76,8030.76			
1975,8630.92,8630.92,8630.92,8630.92			
1976,9226.48,9226.48,9226.48,9226.48			
1977,9779.44,9779.44,9779.44,9779.44
1978,10556.03,10556.03,10556.03,10556.03				
1979,11479.46,11479.46,11479.46,11479.46	
1980,12513.46,12513.46,12513.46,12513.46	
1981,13773.10,13773.10,13773.10,13773.10	
1982,14531.34,14531.34,14531.34,14531.34	
1983,15239.24,15239.24,15239.24,15239.24
1984,16135.07,16135.07,16135.07,16135.07
1985,16822.51,4.26,15250.75,15900.51	
1986,17321.82,2.97,15900.51,16372.45	
1987,18426.51,6.38,16372.45,17416.59	
1988,19334.04,4.93,17416.59,18274.38	
1989,20099.55,3.96,18274.38,18997.93
1990,21027.98,4.62,18997.93,19875.47	
1991,21811.60,3.73,20172.11,20923.84	
1992,22935.42,5.15,20923.84,22001.92	
1993,23132.67,0.86,22001.92,22191.14	
1994,23753.53,2.68,22191.14,22786.73	
1995,24705.66,4.01,22786.73,23700.11	
1996,25913.90,4.89,23700.11,24859.17	
1997,27426.00,5.84,24859.17,26309.73	
1998,28861.44,5.23,26309.73,27686.75	
1999,30469.84,5.57,27686.75,29229.69	
2000,32154.82,5.53,29229.69,30846.09	
2001,32921.92,2.39,30846.09,31581.97	
2002,33252.09,1.00,31581.97,31898.70	
2003,34064.95,2.44,31898.70,32678.48	
2004,35648.55,4.65,32678.48,34197.63	
2005,36952.94,3.66,34197.63,35448.93	
2006,38651.41,4.60,35448.93,37078.27	
2007,40405.48,4.54,37078.27,38760.95	
2008,41334.97,2.30,38760.95,39652.61	
2009,40711.61,-1.51,39652.61,39054.62	
2010,41673.83,2.36,39036.67,39959.30	
2011,42979.61,3.13,39959.30,41211.36
